product_url,product_name,mrp,rating,no_of_reviews,description
https://www.homedepot.com/p/Blink-Wired-Floodlight-Camera-Smart-Security-Camera-2600-Lumens-HD-Works-with-Alexa-1-Camera-Black-B0B5VGZTXH/326636960,"Wired Floodlight Camera - Smart Security Camera, 2600-Lumens, HD Works with Alexa - 1 Camera (Black)",59,4.1,72,"Bright 2600 lumens LED lighting for night view
Crisp 1080p HD live view with two-way audio for convenient use
105dB siren offers dual-zone customizable motion detection
"
https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Sealed-Battery-Smoke-Detector-with-Intelligent-and-Wire-Free-Voice-Interconnect-2-Pack-21028749/302682495,10 Year Worry-Free Sealed Battery Smoke Detector with Intelligent and Wire-Free Voice Interconnect (2-Pack),89,3,689,"Smoke alarms lasts 10 years, then replace the units
All interconnected alarms will sound when one alarm goes off
Alarm features wire-free interconnectivity via radio frequency
"
https://www.homedepot.com/p/Kwikset-HALO-Satin-Nickel-Single-Cylinder-Keypad-Electronic-Smart-Lock-Deadbolt-Featuring-SmartKey-Touchscreen-and-WiFi-99390-001/311532377,"HALO Satin Nickel Single-Cylinder Keypad Electronic Smart Lock Deadbolt Featuring SmartKey, Touchscreen and WiFi",249,3.8,1042,"No hub or bridge required; just connect the lock to your WiFi
Lock, unlock, and check status from anywhere in the world
Program up to 250 user access codes & receive notifications
"
https://www.homedepot.com/p/WYZE-Cam-v3-Wired-1080p-HD-Indoor-Outdoor-Smart-Home-Security-Camera-with-Color-Night-Vision-and-2-Way-Audio-WYZEC3/316810294,Cam v3 Wired 1080p HD Indoor/Outdoor Smart Home Security Camera with Color Night Vision and 2-Way Audio,35,4.4,3845,"See clearly at night in full color with 1080p color night vision
Capture moments indoors and outdoors with IP65 weather resistance
2-way audio and mini siren feature
"
https://www.homedepot.com/p/Ring-Spotlight-Cam-Plus-Battery-Smart-Security-Video-Camera-with-LED-Lights-2-Way-Talk-Color-Night-Vision-Black-B09K1HHZTM/322634782,"Spotlight Cam Plus, Battery - Smart Security Video Camera with LED Lights, 2-Way Talk, Color Night Vision, Black",129,4.6,124,"Battery powered outdoor security camera with 1080p HD video.
LED spotlights, security siren and advanced 3D Motion Detection
Two-Way Talk, mobile notifications, customizable motion zones.
"
https://www.homedepot.com/p/Ring-Spotlight-Cam-Pro-Battery-Smart-Security-Video-Camera-with-LED-Lights-Dual-Band-Wifi-3D-Motion-Detection-White-B09DRX62ZV/322386364,"Spotlight Cam Pro, Battery - Smart Security Video Camera with LED Lights, Dual Band Wifi, 3D Motion Detection, White",189,4.5,46,"Battery powered security camera w/1080p HDR Video, Dual-Band wifi
LED spotlights, security siren and advanced 3D Motion Detection
2-Way Talk w/Audio+, mobile alerts, adjustable motion zones
"
https://www.homedepot.com/p/Lutron-Claro-Smart-Switch-for-Caseta-On-Off-Control-of-Lights-Fans-5-Amp-Neutral-Wire-Required-White-DVRF-5NS-WH-R-DVRF-5NS-WH-R/321137027,"Claro Smart Switch for Caseta, On/Off Control of Lights/Fans, 5-Amp/Neutral Wire Required, White (DVRF-5NS-WH-R)",59,4.8,137,"Paddle style smart switch with indicator light
Works with 5A LED or 3A fan
Works w/Alexa, Google, Apple Home, Ring and more (hub required)
"
https://www.homedepot.com/p/Ring-Video-Doorbell-3-Smart-Wireless-Doorbell-Camera-with-Dual-Band-WiFi-Quick-Release-Battery-2-Way-Talk-Night-Vision-8VRSLZ-0EN0/312831527,"Video Doorbell 3 - Smart Wireless Doorbell Camera with Dual-Band WiFi, Quick Release Battery, 2-Way Talk, Night Vision",149,4.5,847,"Removable rechargeable battery video doorbell with 1080p HD Video
Dual-band Wi-Fi, privacy zones, and improved motion detection
2-way talk, mobile notifications, customizable motion zones
"
https://www.homedepot.com/p/Google-Nest-Learning-Thermostat-Smart-Wi-Fi-Thermostat-Polished-Steel-T3019US/306601091,Nest Learning Thermostat - Smart Wi-Fi Thermostat - Polished Steel,249,4.8,22854,"Learns your favorite temperature settings and adjusts
Saves on energy bills: up to 12% on heating and 15% on cooling
Control remotely through smart device and set up alerts
"
https://www.homedepot.com/p/ecobee-ecobee3-Lite-Programmable-Smart-Thermostat-with-Alexa-Google-Assistant-Energy-Star-Certified-EB-STATE3LT-02/301500584,"ecobee3 Lite Programmable Smart Thermostat with Alexa, Google Assistant - Energy Star Certified",149,4.7,2429,"Touchscreen thermostat pairs with SmartSensor for efficiency
Handy, step-by-step guide provided to easy installation
Works with Amazon Echo, Apple HomeKit and Google Assistant
"
https://www.homedepot.com/p/Kidde-10-Year-Worry-Free-Hardwired-Combination-Smoke-and-Carbon-Monoxide-Detector-with-Wire-Free-Voice-Interconnect-21028759/302789423,10 Year Worry-Free Hardwired Combination Smoke and Carbon Monoxide Detector with Wire-Free Voice Interconnect,84,3.9,172,"Combination Smoke and CO alarm requires hardwire installation
10-year battery backup for protection even during power outages
Alarm features wire-free interconnectivity via radio frequency
"
https://www.homedepot.com/p/Google-Nest-Thermostat-Smart-Programmable-Wi-Fi-Thermostat-Charcoal-GA02081-US/314573205,Nest Thermostat - Smart Programmable Wi-Fi Thermostat - Charcoal,129,3.7,1750,"Control your thermostat from wherever with the Google Home app
Designed so you can install it yourself in 30 minutes or less
Helps you create an energy-efficient schedule right at the start
"
https://www.homedepot.com/p/Kidde-Smart-Smoke-and-Carbon-Monoxide-Detector-Hardwired-with-Voice-Alert-21031042/318246407,"Smart Smoke and Carbon Monoxide Detector, Hardwired with Voice Alert",89,3.6,143,"2-in-1 protection: combination smoke & CO alarm in 1 unit
WiFi enabled: allows notifications to be sent to friends & family
Google Home & Amazon Alexa compatible
"
https://www.homedepot.com/p/Kwikset-SmartCode-915-Touchscreen-Venetian-Bronze-Single-Cylinder-Electronic-Deadbolt-with-Avalon-Handleset-and-Tustin-Lever-915AVL91511PCB/302437097,SmartCode 915 Touchscreen Venetian Bronze Single Cylinder Electronic Deadbolt with Avalon Handleset and Tustin Lever,265,4,113,"Customized automatic door locking for peace of mind
Easy to program user access codes for increased security
SmartKey re-key allows you to re-key your lock in seconds
"
https://www.homedepot.com/p/Google-Nest-Doorbell-Battery-Smart-Wi-Fi-Video-Doorbell-Camera-Snow-GA01318-US/317817040,Nest Doorbell (Battery) - Smart Wi-Fi Video Doorbell Camera - Snow,179,4.3,469,"The battery-powered video doorbell that works with any home
Front door camera can tell you if it's a person or package
See what you missed with 3 hours of free event video history
"
